KIC Teff Teff_err logg logg_err feh feh_err NoCorM NoCorM_err NoCorR NoCorR_err RGBcorM RGBcorM_err RGBcorR RGBcorR_err ClcorM ClcorM_err ClcorR ClcorR_err Phase RA DEC
 4570555 5150 100 3.205 0.007 -0.16 0.15 1.39 0.07  4.88 0.10 1.41 0.07  4.91 0.10 1.42 0.07  4.93  0.10 1 294.0963208507680 +39.6470846502171
 4571226 5005 164 2.546 0.009  0.06 0.30 1.58 0.12 11.10 0.33 1.55 0.12 11.00 0.32 1.60 0.12 11.18  0.33 2 294.2632633537341 +39.6610208429961
 4571235 4899 157 2.599 0.012  0.04 0.30 1.39 0.14  9.81 0.36 1.34 0.13  9.62 0.36 1.41 0.14  9.87  0.37 1 294.2654231413579 +39.6065090145719
 4571324 4710  80 2.583 0.009  0.10 0.15 1.69 0.11 10.99 0.25 1.55 0.10 10.53 0.24 1.71 0.11 11.07  0.26 1 294.2878653717613 +39.6790938895287
 4571402 5010 142 2.520 0.021 -0.58 0.30 1.57 0.25 11.42 0.66 1.46 0.23 11.01 0.63 1.62 0.26 11.58  0.67 2 294.3061790620909 +39.6918650620538
 4571448 4891  80 3.262 0.006  0.21 0.15 1.26 0.06  4.35 0.08 1.25 0.06  4.32 0.08 1.27 0.06  4.37  0.08 1 294.3198186707392 +39.6473408956644
 4571650 4954  80 3.159 0.007 -0.04 0.15 1.56 0.08  5.44 0.10 1.49 0.07  5.33 0.10 1.58 0.08  5.48  0.10 1 294.3724918160061 +39.6572393550376
 4571777 4834 160 2.738 0.011  0.19 0.30 1.44 0.12  8.50 0.27 1.38 0.11  8.30 0.26 1.46 0.12  8.56  0.27 1 294.4041411301196 +39.6613872801806
 4571903 5157 171 2.457 0.010 -0.12 0.30 1.17 0.10 10.57 0.38 1.20 0.11 10.73 0.39 1.18 0.11 10.60  0.38 2 294.4358764219509 +39.6728879243340
 4571962 4358 100 1.737 0.025 -0.03 0.15 1.66 0.35 28.89 2.38 1.48 0.31 27.24 2.21 1.63 0.34 28.65  2.36 1 294.4530236054786 +39.6466976908860
 4572225 5044 156 2.516 0.011 -0.12 0.30 1.45 0.12 11.02 0.32 1.42 0.12 10.91 0.32 1.48 0.12 11.12  0.33 2 294.5177659191807 +39.6949482359978
 4572371 4864 151 2.574 0.009 -0.14 0.30 1.71 0.11 11.20 0.27 1.59 0.11 10.78 0.26 1.75 0.12 11.31  0.27 1 294.5543194042550 +39.6421828756217
 4572779 4886 100 2.366 0.011  0.39 0.30 1.07 0.18 11.22 0.91 1.09 0.19 11.31 0.92 1.06 0.18 11.18  0.91 2 294.6495191205041 +39.6838841543301
 4574474 4715 100 2.414 0.017  0.24 0.30 1.27 0.30 11.59 1.27 1.19 0.28 11.22 1.22 1.28 0.30 11.62  1.28 2 295.0323492587577 +39.6415406273264
 4574601 4779 152 2.484 0.011 -1.05 0.30 1.41 0.12 11.25 0.38 1.20 0.10 10.37 0.34 1.32 0.11 10.88  0.36 2 295.0632716847644 +39.6097107078330
 4574621 4882 170 2.707 0.012 -0.06 0.30 2.07 0.18 10.54 0.32 1.95 0.17 10.24 0.31 2.11 0.18 10.66  0.33 2 295.0661225780606 +39.6569586969694
 4574857 4831 100 2.396 0.011 -0.63 0.30 0.98 0.16 10.40 0.82 0.86 0.14  9.73 0.74 0.96 0.16 10.28  0.81 2 295.1197757800142 +39.6726728247406
 4574876 4907 157 2.583 0.010 -0.49 0.30 1.50 0.11 10.37 0.28 1.36 0.10  9.89 0.27 1.52 0.11 10.44  0.28 1 295.1249156759712 +39.6041871036144
 4575396 4666 100 2.162 0.008  0.04 0.30 0.94 0.08 13.33 0.48 0.87 0.07 12.79 0.45 0.94 0.08 13.34  0.48 2 295.2493646703542 +39.6541578127878
 4575420 4745 100 2.712 0.009  0.71 0.30 1.63 0.11  9.33 0.22 1.57 0.10  9.15 0.21 1.67 0.11  9.43  0.22 1 295.2535339187788 +39.6339862858554
 4575645 4794 100 2.473 0.011  0.27 0.15 1.25 0.34 10.74 1.41 1.20 0.32 10.54 1.37 1.26 0.34 10.76  1.41 2 295.3031810633561 +39.6226722775867
 4575766 4888 100 3.154 0.007  0.30 0.30 1.28 0.07  4.96 0.10 1.27 0.07  4.94 0.10 1.28 0.07  4.97  0.10 1 295.3299890324991 +39.6829283453587
 4576092 4709  80 2.380 0.025 -0.01 0.15 0.92 0.20 10.28 0.91 0.86 0.19  9.92 0.87 0.93 0.20 10.31  0.92 2 295.3999107988350 +39.6398876225489
 4576217 4803 151 2.406 0.013 -0.29 0.30 1.20 0.18 11.38 0.77 1.08 0.16 10.79 0.71 1.20 0.18 11.37  0.77 2 295.4284327535817 +39.6278161693978
 4576632 4562 134 2.386 0.018 -0.21 0.30 1.04 0.14 10.83 0.50 0.90 0.12 10.06 0.46 1.02 0.13 10.71  0.50 2 295.507627 +39.620068
 4577048 4718 100 2.595 0.014 -0.12 0.30 1.44 0.15 10.02 0.36 1.30 0.13  9.50 0.34 1.44 0.15 10.03  0.36 1 295.5947327876502 +39.6515129013931
 4577784 4792  80 2.440 0.009 -0.05 0.15 1.53 0.11 12.33 0.34 1.40 0.10 11.83 0.33 1.54 0.11 12.40  0.34 2 295.7502667895382 +39.6456150355750
 4578246 5027 100 2.827 0.008 -0.02 0.30 2.16 0.14  9.39 0.24 2.13 0.13  9.33 0.23 2.23 0.14  9.55  0.24 2 295.8502527935854 +39.6858472381207
 4578390 4816 100 2.390 0.018 -0.68 0.30 1.02 0.16 10.69 0.69 0.88 0.14  9.95 0.63 0.99 0.16 10.53  0.67 2 295.8789256700817 +39.6231309299435
 4578488 4777 100 2.591 0.008 -0.03 0.30 1.23 0.07  9.30 0.20 1.14 0.07  8.95 0.19 1.24 0.07  9.33  0.20 1 295.9012060028797 +39.6511148446772
 4578825 5013 100 2.851 0.009 -0.08 0.30 2.13 0.17  9.08 0.30 2.08 0.17  8.97 0.30 2.20 0.18  9.22  0.31 2 295.9693106324075 +39.6703563590684
 4579125 4574 100 2.684 0.011 -0.25 0.30 1.19 0.10  8.23 0.24 1.03 0.08  7.65 0.22 1.17 0.09  8.13  0.24 1 296.0253380034930 +39.6372106703425
 4579338 4809 100 2.503 0.014 -0.61 0.30 1.49 0.50 11.33 1.86 1.31 0.43 10.62 1.69 1.46 0.49 11.23  1.84 2 296.0648901501830 +39.6978762988427
 4580159 4978  80 3.085 0.007 -0.14 0.15 1.40 0.07  5.62 0.10 1.34 0.07  5.51 0.10 1.42 0.07  5.67  0.10 1 296.2202031935566 +39.6613326759036
 4580189 4793  80 2.708 0.008  0.02 0.15 1.88 0.11 10.04 0.21 1.74 0.10  9.68 0.21 1.91 0.11 10.14  0.22 1 296.2261476734349 +39.6996198258688
 4581415 5102 162 2.388 0.010 -0.85 0.30 1.28 0.13 11.99 0.54 1.21 0.13 11.65 0.52 1.32 0.14 12.16  0.55 2 296.4802407592219 +39.6352647876570
 4585010 4710  80 2.771 0.008  0.32 0.15 1.75 0.10  9.03 0.19 1.64 0.10  8.73 0.18 1.79 0.10  9.11  0.19 1 297.189120 +39.672852
 4585322 4214 147 1.715 0.021  0.06 0.30 1.50 0.39 28.16 3.31 1.32 0.33 26.44 3.03 1.47 0.38 27.87  3.26 0 297.2484025254275 +39.6349767266767
 4585508 4709  80 2.437 0.010  0.14 0.15 1.51 0.12 12.30 0.35 1.39 0.11 11.81 0.33 1.53 0.12 12.39  0.35 2 297.2857086672486 +39.6810568277080
 4586384 4989 167 3.026 0.009 -0.44 0.30 1.40 0.09  6.02 0.14 1.31 0.09  5.82 0.14 1.44 0.10  6.10  0.15 1 297.4677500943005 +39.6245430376496
 4586817 4926  80 3.117 0.006  0.05 0.15 1.38 0.07  5.38 0.10 1.34 0.06  5.29 0.09 1.40 0.07  5.41  0.10 1 297.5391467130573 +39.6708304983302
 4586875 4547  80 2.366 0.010  0.38 0.15 1.11 0.09 11.43 0.35 1.01 0.08 10.90 0.33 1.10 0.09 11.40  0.35 2 297.5503046866289 +39.6747962301915
 4587050 4846  80 3.185 0.007  0.25 0.15 1.36 0.07  4.94 0.09 1.32 0.07  4.86 0.09 1.38 0.07  4.96  0.09 1 297.5823151789718 +39.6469144589339
 4587051 4335 151 1.878 0.015 -0.26 0.30 1.45 0.17 22.92 1.06 1.28 0.15 21.53 0.98 1.41 0.17 22.61  1.04 0 297.582490 +39.635014
 4588236 5093 179 2.944 0.010 -0.15 0.30 2.28 0.18  8.44 0.25 2.29 0.18  8.45 0.25 2.38 0.19  8.61  0.26 2 297.7952425120671 +39.6600759832661
 4588755 5106 165 3.195 0.009 -0.02 0.30 1.44 0.09  5.03 0.12 1.46 0.10  5.05 0.12 1.46 0.10  5.06  0.12 1 297.8890644697065 +39.6757564435563
 4633131 5129 144 2.965 0.009 -0.36 0.30 1.64 0.10  6.99 0.16 1.60 0.10  6.89 0.15 1.69 0.11  7.09  0.16 1 283.8591244887158 +39.7321038245984
 4633238 5026 147 2.488 0.011 -0.12 0.30 1.73 0.14 12.44 0.36 1.67 0.13 12.22 0.36 1.78 0.14 12.58  0.37 2 283.9002097576579 +39.7000612673733
 4633249 5192 158 2.405 0.019 -0.47 0.30 0.82 0.14  9.42 0.67 0.86 0.15  9.61 0.69 0.84 0.14  9.50  0.68 2 283.9039942008980 +39.7609273485139
 4633376 4834 142 3.041 0.008  0.52 0.30 1.33 0.08  5.77 0.13 1.33 0.08  5.77 0.13 1.35 0.08  5.80  0.13 1 283.9618970159717 +39.7456966331824
 4633706 4980 144 2.219 0.010 -0.26 0.30 1.02 0.08 13.02 0.38 1.00 0.08 12.89 0.37 1.03 0.08 13.07  0.38 2 284.0987318684548 +39.7597828610449
 4633721 4689 130 2.728 0.009 -0.24 0.30 1.40 0.09  8.47 0.20 1.24 0.08  7.96 0.18 1.38 0.09  8.41  0.19 1 284.1064574078853 +39.7339328903584
 4633774 4855 137 3.133 0.009 -0.15 0.30 1.08 0.07  4.66 0.12 1.02 0.07  4.53 0.11 1.08 0.07  4.68  0.12 1 284.1340975336208 +39.7435427494422
 4633907 4783 100 2.392 0.010 -0.02 0.15 1.07 0.08 10.93 0.31 1.01 0.08 10.60 0.30 1.08 0.08 10.96  0.31 2 284.2002345017845 +39.7698575760802
 4633909 4753 151 2.374 0.012 -2.44 0.30 0.85 0.09  9.92 0.43 0.66 0.07  8.74 0.37 0.80 0.09  9.66  0.41 2 284.2005766075927 +39.7879588965889
 4634108 4799 100 2.642 0.007 -0.03 0.15 1.37 0.07  9.25 0.18 1.27 0.07  8.91 0.17 1.38 0.07  9.30  0.18 1 284.2954169865387 +39.7387192403171
 4634310 4748 100 2.448 0.013  0.22 0.15 1.36 0.13 11.52 0.42 1.28 0.13 11.18 0.40 1.37 0.14 11.58  0.42 2 284.3801584049754 +39.7748031478590
 4636731 4556 100 2.262 0.010 -0.06 0.15 1.39 0.10 14.46 0.38 1.23 0.09 13.59 0.35 1.38 0.10 14.39  0.38 1 285.4937344349841 +39.7894213288095
 4637699 5036 153 2.660 0.009 -1.20 0.30 1.13 0.07  8.21 0.19 1.03 0.07  7.84 0.18 1.08 0.07  8.03  0.19 1 285.9186896249592 +39.7129447424150
 4637793 4631 100 2.453 0.008 -0.15 0.15 1.44 0.09 11.81 0.26 1.28 0.08 11.12 0.24 1.43 0.08 11.75  0.26 1 285.9607397930554 +39.7711542531691
 4637939 4657  80 2.718 0.007  0.16 0.15 1.39 0.07  8.53 0.17 1.27 0.07  8.15 0.16 1.40 0.07  8.58  0.17 1 286.0215800598027 +39.7405239251157
 4638317 4646 100 2.350 0.011 -0.34 0.15 1.31 0.11 12.67 0.37 1.14 0.09 11.82 0.34 1.28 0.11 12.52  0.37 1 286.1858108107177 +39.7886794798393
 4638467 4879 145 3.278 0.008  0.08 0.30 1.16 0.07  4.10 0.09 1.14 0.07  4.05 0.09 1.17 0.07  4.11  0.09 1 286.2478470745438 +39.7757449765750
 4640537 4718 100 2.442 0.010  0.18 0.15 1.26 0.09 11.20 0.31 1.18 0.09 10.82 0.30 1.27 0.10 11.25  0.31 2 287.1400944939007 +39.7345626336625
 4640930 4995 100 3.161 0.008 -0.08 0.15 1.54 0.09  5.41 0.12 1.49 0.09  5.31 0.11 1.57 0.09  5.45  0.12 1 287.3062690938143 +39.7992362583206
 4641634 4771  80 2.605 0.008 -0.14 0.15 1.29 0.08  9.38 0.20 1.17 0.07  8.93 0.19 1.30 0.08  9.40  0.20 1 287.5929442104973 +39.7258516536237
 4643888 4946 146 2.620 0.011 -0.04 0.30 1.86 0.16 11.06 0.33 1.77 0.15 10.80 0.32 1.91 0.16 11.20  0.34 2 288.4411130724041 +39.7694376234781
 4643982 4409 131 2.985 0.008 -1.37 0.30 1.07 0.07  5.51 0.12 0.89 0.05  5.02 0.11 0.97 0.06  5.26  0.12 1 288.4778431123929 +39.7075694484162
 4644509 4839  80 2.372 0.012 -1.09 0.15 0.83 0.10  9.85 0.54 0.70 0.09  9.00 0.47 0.80 0.10  9.67  0.52 2 288.6656158961192 +39.7682428248978
 4644573 4764  80 2.288 0.013 -0.24 0.15 0.73 0.09 10.14 0.56 0.68 0.09  9.80 0.53 0.74 0.09 10.20  0.56 2 288.6879929392315 +39.7272935850003
 4644773 4812  80 2.369 0.012 -1.04 0.15 0.71 0.40  9.10 2.58 0.58 0.31  8.23 2.22 0.68 0.39  8.95  2.51 2 288.7523753635779 +39.7244281532665
 4644949 4683  80 2.688 0.007 -0.44 0.15 1.22 0.07  8.27 0.17 1.05 0.06  7.68 0.15 1.18 0.07  8.14  0.17 1 288.8106905749391 +39.7977954303511
 4645422 4760 139 2.427 0.011 -0.00 0.30 1.22 0.11 11.19 0.37 1.13 0.10 10.77 0.35 1.23 0.11 11.23  0.37 2 288.9573278763721 +39.7494939259675
 4645455 4896  80 2.477 0.011 -0.25 0.15 1.52 0.13 11.78 0.38 1.41 0.12 11.34 0.36 1.55 0.13 11.89  0.38 2 288.9683316007039 +39.7970256179852
 4645474 4872  80 3.097 0.006 -0.29 0.15 1.18 0.05  5.08 0.09 1.09 0.05  4.88 0.08 1.19 0.06  5.10  0.09 1 288.9735074104801 +39.7485955362508
 4645513 4798  80 2.708 0.007  0.19 0.15 1.86 0.10 10.00 0.20 1.75 0.09  9.71 0.19 1.90 0.10 10.11  0.20 1 288.9838944354844 +39.7548429511642
 4645692 4770  80 2.463 0.009  0.00 0.15 1.27 0.09 10.94 0.28 1.18 0.08 10.53 0.27 1.28 0.09 10.99  0.29 2 289.0382154356926 +39.7457883172872
 4645789 4925 149 2.706 0.009 -0.87 0.30 1.32 0.08  8.45 0.19 1.18 0.07  7.98 0.18 1.32 0.08  8.44  0.19 1 289.0660447167029 +39.7646266925506
 4646012 4778  80 2.504 0.009  0.13 0.15 1.42 0.10 11.05 0.27 1.33 0.09 10.70 0.26 1.44 0.10 11.13  0.28 2 289.1305569293645 +39.7134792118672
 4646245 4721  80 2.548 0.012  0.38 0.15 1.55 0.13 10.95 0.33 1.46 0.13 10.63 0.32 1.56 0.13 11.00  0.33 2 289.2067150205373 +39.7055650250416
 4646477 4917  80 3.313 0.007  0.11 0.15 1.33 0.07  4.22 0.08 1.30 0.06  4.17 0.08 1.35 0.07  4.24  0.08 1 289.2807632126639 +39.7414245967024
 4647117 4787  80 2.456 0.010 -0.13 0.15 1.32 0.10 11.24 0.31 1.20 0.09 10.73 0.30 1.33 0.10 11.28  0.32 2 289.4712303771002 +39.7108609485226
 4647377 4884  80 2.395 0.021 -0.33 0.15 0.87 0.14  9.80 0.59 0.83 0.13  9.57 0.57 0.88 0.14  9.87  0.59 2 289.5542904048425 +39.7157894757744
 4647569 5127 165 2.460 0.011 -0.21 0.30 1.41 0.11 11.58 0.34 1.41 0.11 11.56 0.34 1.44 0.12 11.70  0.34 1 289.6170560874579 +39.7941649840844
 4647683 5027 157 2.588 0.010 -0.23 0.30 1.21 0.08  9.27 0.23 1.19 0.08  9.17 0.23 1.23 0.08  9.32  0.23 1 289.6458038439596 +39.7771524871558
 4647756 4925 148 2.540 0.019  0.11 0.30 2.20 0.37 13.20 0.91 2.15 0.36 13.04 0.89 2.25 0.38 13.35  0.92 2 289.6691717381847 +39.7897117430158
 4648207 4805 141 2.657 0.008 -0.22 0.30 1.44 0.09  9.31 0.21 1.30 0.08  8.86 0.20 1.45 0.09  9.35  0.21 1 289.8073258811484 +39.7027122400744
 4648485 4731  80 3.057 0.006  0.07 0.15 1.18 0.06  5.32 0.09 1.09 0.05  5.13 0.09 1.18 0.06  5.34  0.09 1 289.8882342474472 +39.7605811634381
 4649012 4837  80 2.461 0.024 -0.09 0.15 1.18 0.20 10.58 0.63 1.11 0.19 10.25 0.61 1.19 0.20 10.61  0.63 2 290.0288295184233 +39.7912045167310
 4649441 5092 155 3.221 0.008 -0.04 0.30 1.26 0.08  4.56 0.10 1.28 0.08  4.60 0.10 1.27 0.08  4.58  0.10 1 290.1378470278438 +39.7540590988720
 4649525 5071 155 2.650 0.009 -0.03 0.30 2.02 0.15 11.14 0.31 2.00 0.15 11.07 0.31 2.08 0.15 11.31  0.31 2 290.1619403784742 +39.7841258995738
 4650494 4700 140 2.416 0.017  0.42 0.30 1.33 0.17 11.83 0.51 1.27 0.16 11.57 0.50 1.35 0.17 11.90  0.51 2 290.4229306790173 +39.7473130217776
 4650936 5232 161 3.210 0.008 -0.08 0.30 1.38 0.08  4.82 0.11 1.43 0.09  4.91 0.11 1.40 0.09  4.86  0.11 1 290.5570233512278 +39.7199739839373
 4651220 4887 145 2.398 0.015  0.09 0.30 1.17 0.12 11.34 0.41 1.15 0.12 11.22 0.40 1.18 0.12 11.37  0.41 2 290.6375486453017 +39.7390139841354
 4651311 5029 152 2.383 0.014 -0.28 0.30 1.07 0.17 11.01 0.76 1.05 0.16 10.94 0.75 1.08 0.17 11.06  0.76 2 290.6708393473605 +39.7194780400715
 4651313 5146 157 2.468 0.030 -0.41 0.30 2.03 0.43 13.76 0.99 1.98 0.42 13.61 0.98 2.11 0.44 14.03  1.01 2 290.6712767519542 +39.7606865954444
 4651366 4971  80 2.642 0.013  0.25 0.15 2.93 0.27 13.54 0.45 3.05 0.29 13.80 0.46 3.04 0.29 13.79  0.46 2 290.6911813205466 +39.7948780752517
 4651399 4784 146 2.453 0.011 -1.01 0.30 1.16 0.09 10.57 0.29 0.96 0.07  9.61 0.26 1.08 0.08 10.22  0.28 1 290.7005625932997 +39.7996384319377
 4655610 5257 181 2.428 0.011 -1.32 0.30 0.71 0.13  8.54 0.71 0.72 0.13  8.59 0.72 0.80 0.14  9.06  0.78 2 291.9699507413575 +39.7003181655828
 4655788 4544 133 2.494 0.010 -0.62 0.30 1.21 0.09 10.34 0.27 1.04 0.08  9.55 0.25 1.16 0.09 10.08  0.26 1 292.0315849037621 +39.7012438542129
 4658506 5020 160 2.528 0.010 -0.14 0.30 1.98 0.21 12.69 0.58 1.91 0.20 12.46 0.57 2.04 0.22 12.88  0.59 2 292.8493777191666 +39.7297880512882
 4658599 4561  80 1.846 0.010 -0.37 0.15 0.86 0.08 18.39 0.69 0.73 0.07 16.87 0.62 0.84 0.08 18.17  0.68 0 292.8764461803222 +39.7192796278012
 4658633 4975 155 2.418 0.013 -0.52 0.30 1.06 0.10 10.56 0.34 1.00 0.09 10.22 0.33 1.09 0.10 10.67  0.34 2 292.8864269912130 +39.7248009940370
 4658637 4850  80 2.418 0.013 -0.15 0.15 0.99 0.10 10.20 0.38 0.95 0.10  9.96 0.37 0.99 0.10 10.20  0.38 2 292.8879002905601 +39.7956732041537
 4658645 4677 163 2.600 0.033 -0.28 0.30 1.87 1.35 11.35 3.99 1.67 1.18 10.74 3.68 1.84 1.33 11.28  3.95 2 292.8891200919661 +39.7387921932010
 4658665 4822 144 2.611 0.009 -0.20 0.30 1.81 0.12 11.02 0.26 1.65 0.11 10.53 0.24 1.83 0.12 11.09  0.26 1 292.893550 +39.706680
 4659361 5098 166 2.423 0.012 -0.03 0.30 0.99 0.09 10.15 0.36 1.04 0.10 10.36 0.37 1.00 0.09 10.17  0.36 2 293.0728821468384 +39.7299338067035
 4659384 4847 152 2.483 0.012  0.20 0.30 1.48 0.13 11.55 0.35 1.41 0.12 11.30 0.35 1.50 0.13 11.63  0.36 1 293.0787117427501 +39.7248416843189
 4659706 4683 100 2.486 0.016  0.41 0.15 2.31 0.26 14.39 0.57 2.22 0.25 14.08 0.55 2.33 0.27 14.45  0.57 1 293.1689692311601 +39.7760742471124
 4659804 5028 170 2.448 0.020  0.26 0.30 1.25 0.30 11.04 1.22 1.28 0.31 11.18 1.24 1.25 0.30 11.06  1.22 2 293.2012544185700 +39.7881423766422
 4659821 5007  80 2.932 0.007  0.11 0.15 2.12 0.12  8.25 0.17 2.10 0.11  8.21 0.17 2.18 0.12  8.36  0.17 2 293.2064736814000 +39.7565212385190
 4659879 5103 160 2.397 0.015 -0.22 0.30 0.91 0.11 10.02 0.44 0.95 0.11 10.21 0.45 0.92 0.11 10.05  0.44 2 293.2214673723386 +39.7394788161583
 4659957 4595  80 2.125 0.015  0.05 0.15 3.12 0.36 25.32 1.08 3.05 0.35 25.05 1.06 3.19 0.36 25.62  1.09 0 293.2389286020522 +39.7547533656056
 4660249 5205 164 2.377 0.012 -0.62 0.30 0.83 0.18  9.80 1.04 0.86 0.19  9.95 1.06 0.86 0.19  9.93  1.06 2 293.3203659418596 +39.7585985692794
 4660577 5001 152 2.458 0.010 -1.08 0.30 1.20 0.10 10.71 0.32 1.07 0.09 10.11 0.30 1.16 0.09 10.53  0.32 2 293.4087753117495 +39.7913093269404
 4660930 5251 173 3.154 0.009 -0.03 0.30 1.54 0.10  5.44 0.13 1.60 0.10  5.54 0.13 1.56 0.10  5.48  0.13 1 293.4955890024816 +39.7326657380212
 4661299 4864  80 2.334 0.013 -0.52 0.15 0.74 0.11  9.67 0.61 0.68 0.10  9.27 0.57 0.74 0.11  9.73  0.61 2 293.5931131118948 +39.7538793088271
 4661554 4854 149 2.629 0.009 -0.03 0.30 1.42 0.09  9.58 0.23 1.34 0.09  9.29 0.22 1.44 0.10  9.64  0.23 1 293.6605086919279 +39.7221542287017
 4661768 4144  80 1.687 0.018  0.11 0.15 1.39 0.27 28.01 2.35 1.22 0.23 26.20 2.15 1.36 0.26 27.68  2.32 0 293.7149743749407 +39.7478619469039
 4661933 4447 155 2.716 0.010 -0.22 0.30 1.10 0.08  7.63 0.20 0.94 0.07  7.06 0.18 1.07 0.08  7.53  0.20 1 293.7624488610496 +39.7666987678484
 4661995 4592  80 2.643 0.007  0.18 0.15 1.26 0.07  8.86 0.17 1.13 0.06  8.41 0.16 1.27 0.07  8.88  0.17 1 293.7802585329013 +39.7536470460869
 4662188 4558 100 2.090 0.011 -0.20 0.15 1.36 0.13 17.41 0.66 1.19 0.11 16.30 0.61 1.34 0.13 17.25  0.65 1 293.8369502418226 +39.7257791100836
 4662298 4731 138 2.386 0.019 -0.13 0.30 1.02 0.14 10.74 0.50 0.93 0.12 10.24 0.47 1.02 0.14 10.74  0.49 2 293.8642964959204 +39.7056160642544
 4662555 5026  80 3.261 0.006  0.08 0.15 1.53 0.08  4.80 0.09 1.52 0.07  4.78 0.09 1.55 0.08  4.83  0.09 1 293.9270422531763 +39.7804666041120
 4662585 5164 170 2.393 0.024 -0.26 0.30 0.82 0.15  9.56 0.61 0.87 0.15  9.82 0.62 0.83 0.15  9.62  0.61 2 293.933900 +39.732330
 4662931 5022 170 2.816 0.010  0.10 0.30 1.52 0.12  7.98 0.23 1.51 0.12  7.95 0.23 1.54 0.12  8.03  0.23 1 294.0139093181238 +39.7717996693975
 4662939 4942 100 2.730 0.009  0.38 0.15 2.70 0.20 11.74 0.32 2.80 0.20 11.94 0.32 2.77 0.20 11.88  0.32 2 294.0148206548910 +39.7582469171860
 4663394 5186 171 2.907 0.009 -0.15 0.30 1.70 0.11  7.60 0.18 1.71 0.12  7.63 0.18 1.74 0.12  7.69  0.18 1 294.1370291176984 +39.7783686605883
 4663478 4831  80 2.554 0.009 -0.12 0.15 2.24 0.15 13.09 0.31 2.10 0.14 12.68 0.30 2.27 0.15 13.20  0.31 1 294.1570517770722 +39.7501737640434
 4663591 4882 149 2.348 0.015 -0.58 0.30 1.07 0.14 11.49 0.56 0.96 0.12 10.87 0.52 1.07 0.14 11.49  0.56 2 294.1891214654033 +39.7279860148237
 4663627 4802  80 2.449 0.010  0.10 0.15 1.24 0.11 10.99 0.40 1.18 0.11 10.70 0.38 1.25 0.11 11.03  0.40 2 294.1997175426220 +39.7595752822407
 4663801 5020  80 2.650 0.020  0.00 0.15 1.72 0.28 10.28 0.66 1.68 0.27 10.15 0.65 1.76 0.29 10.40  0.67 2 294.2456563346003 +39.7248066975943
 4663813 4908 146 3.127 0.008  0.01 0.30 1.26 0.07  5.08 0.11 1.22 0.07  5.00 0.11 1.27 0.08  5.10  0.11 1 294.2483491330030 +39.7022019562550
 4663975 4076  80 1.596 0.021  0.08 0.15 1.04 0.18 26.92 1.78 0.88 0.15 24.71 1.60 1.01 0.17 26.50  1.75 1 294.2886671916164 +39.7635977103609
 4664515 4848  80 3.182 0.006 -0.58 0.15 0.95 0.04  4.13 0.07 0.84 0.04  3.89 0.07 0.93 0.04  4.11  0.07 1 294.4149090864277 +39.7995759747210
 4664716 5151 165 3.097 0.009 -0.01 0.30 1.28 0.08  5.29 0.12 1.32 0.08  5.38 0.12 1.29 0.08  5.32  0.12 1 294.4576621607910 +39.7220690064020
 4664909 4692 152 2.372 0.022  0.52 0.30 0.85 0.22  9.94 1.17 0.85 0.22  9.96 1.18 0.85 0.22  9.94  1.17 2 294.5044606266688 +39.7451995887172
 4665104 4792 147 2.480 0.011 -0.14 0.30 1.35 0.11 11.09 0.35 1.23 0.10 10.59 0.33 1.37 0.11 11.14  0.35 1 294.5496774329641 +39.7535755768150
 4667338 4758 100 2.403 0.008 -0.31 0.30 1.21 0.08 11.43 0.27 1.07 0.07 10.76 0.25 1.19 0.08 11.37  0.26 1 295.0697153084972 +39.7122381988722
 4667399 4626 100 2.521 0.010  0.21 0.30 1.42 0.10 10.83 0.28 1.29 0.09 10.33 0.26 1.44 0.10 10.89  0.28 2 295.0814022326158 +39.7366642663966
 4667561 4714 100 2.517 0.008 -0.44 0.30 1.49 0.09 11.14 0.25 1.30 0.08 10.43 0.23 1.45 0.09 11.01  0.24 1 295.1174929540835 +39.7324893290351
 4667909 4793 100 3.053 0.007  0.65 0.30 1.31 0.07  5.64 0.10 1.25 0.06  5.51 0.10 1.30 0.07  5.61  0.10 1 295.1981331955892 +39.7027747654590
 4667911 4742 100 2.466 0.013  0.49 0.30 1.23 0.12 10.75 0.36 1.21 0.12 10.64 0.36 1.25 0.12 10.81  0.37 2 295.1984909728384 +39.7104027947142
 4668478 4944 100 2.727 0.010 -0.12 0.30 2.15 0.16 10.52 0.29 2.06 0.15 10.30 0.28 2.21 0.16 10.66  0.29 2 295.3353279851887 +39.7432551358930
 4669118 4865 100 3.063 0.007 -0.19 0.30 1.29 0.06  5.52 0.10 1.19 0.06  5.32 0.10 1.30 0.06  5.55  0.10 1 295.4725701889041 +39.7915394259160
 4669214 4853 100 2.566 0.009 -0.96 0.30 1.78 0.16 11.51 0.43 1.57 0.14 10.82 0.40 1.74 0.15 11.40  0.42 2 295.4929257508043 +39.7676672460428
 4669400 4764 100 2.561 0.007 -0.24 0.30 1.34 0.07 10.06 0.20 1.20 0.07  9.51 0.19 1.34 0.07 10.05  0.20 1 295.5328732389172 +39.7991636020622
 4670253 4909 100 3.234 0.012  0.32 0.30 1.65 0.16  5.13 0.20 1.61 0.16  5.07 0.20 1.67 0.17  5.17  0.20 1 295.7133292942179 +39.7345542922962
